Auxesia,ginkiha,185,3,3.5,385,6,6.5,648,9,9.3,1000,0,0.0,0,0,0.0,0
Rabbit In The Black Room,Rabbit House,270,2,2.5,373,5,5.5,467,8,8.4,772,0,0.0,0,0,0.0,0
Modelista,HiTECH NINJA,165,3,3.5,418,7,7.5,691,9,9.9,1010,0,0.0,0,0,0.0,0
One Last Drive,REDSHiFT,154-175,2,2.5,604,5,5.5,564,8,8.2,885,0,0.0,0,0,0.0,0
Dreamin' Attraction!!,翡乃イスカ,205,4,4.5,592,7,7.0,785,9,9.4,1129,0,0.0,0,0,0.0,0
Red and Blue,Silentroom,150,4,4.0,464,7+,7.8,597,9,9.4,845,0,0.0,0,10,10.2,1194
Iconoclast,Yamajet,140,4,4.0,443,7,7.0,593,9,9.1,795,0,0.0,0,0,0.0,0
SOUNDWiTCH,HATE,170,3,3.5,315,6,6.5,488,9+,9.9,785,0,0.0,0,0,0.0,0
trappola bewitching,gmtn.,190,3,3.0,415,6,6.0,541,9+,9.9,1044,0,0.0,0,10,10.6,1086
conflict,siromaru + cranky,160,4,4.5,520,7,7.5,731,10,10.2,1056,0,0.0,0,0,0.0,0
Axium Crisis,ak+q,170,5,5.5,685,8,8.5,1065,10,10.6,1094,0,0.0,0,0,0.0,0
Grievous Lady,Team Grimoire vs Laur,210,6,6.5,956,9,9.3,1194,11,11.1,1450,0,0.0,0,0,0.0,0
Surrender,void,152,3,3.0,550,6,6.5,721,8+,8.8,925,0,0.0,0,0,0.0,0
Yosakura Fubuki,A.SAKA,152,4,4.5,416,7,7.0,582,9,9.4,931,0,0.0,0,0,0.0,0
Reinvent,Sound Souler,174,2,2.5,570,6,6.5,703,8,8.5,852,0,0.0,0,0,0.0,0
Syro,Mitomoro,178,3,3.5,535,6,6.5,829,9,9.3,1150,0,0.0,0,0,0.0,0
Dream goes on,Tiny Minim,174,1,1.5,532,5,5.0,751,7+,7.8,719,0,0.0,0,0,0.0,0
Journey,ARForest,200,3,3.0,551,6,6.0,778,9,9.1,997,0,0.0,0,0,0.0,0
Specta,Junk,179,3,3.5,390,6,6.5,706,9,9.5,1096,0,0.0,0,0,0.0,0
Quon,Feryquitous,179,4,4.0,547,6,6.5,718,9,9.6,991,0,0.0,0,0,0.0,0
cyanine,jioyi,182,4,4.0,661,7+,7.8,947,10,10.6,1171,0,0.0,0,0,0.0,0
Metallic Punisher,INNOCENT NOIZE,165,3,3.0,500,7,7.0,846,10,10.3,1238,0,0.0,0,0,0.0,0
Blaster,Massive New Krew,180,4,4.0,571,7,7.0,635,9,9.3,1002,0,0.0,0,0,0.0,0
next to you,uma feat. 橘花音,165,4,4.5,454,7,7.0,583,8+,8.8,824,0,0.0,0,9,9.6,954
Silent Rush,Soleily,158,2,2.5,416,5,5.0,674,8,8.6,941,0,0.0,0,0,0.0,0
Strongholds,Yooh,105,2,2.5,570,5,5.0,778,9,9.2,922,0,0.0,0,0,0.0,0
Memory Forest,ETIA.,178,3,3.5,639,6,6.0,726,9+,9.8,978,0,0.0,0,0,0.0,0
Singularity,ETIA.,175,4,4.5,534,7+,7.8,678,10,10.5,1105,0,0.0,0,10,10.4,1114
carmine:scythe,かゆき,165,4,4.0,493,7+,7.8,710,9,9.6,1164,0,0.0,0,0,0.0,0
guardina,Aoi,202,4,4.0,507,8,8.0,678,10,10.4,1120,0,0.0,0,0,0.0,0
Cybernecia Catharsis,Tanchiky,184,4,4.0,377,7,7.0,655,9,9.5,946,0,0.0,0,9+,9.8,991
Be There,PSYQUI,164,4,4.0,592,7,7.5,792,9,9.4,982,0,0.0,0,0,0.0,0
inkar-usi,DIA,102,2,2.0,276,4,4.0,326,7+,7.8,463,0,0.0,0,9,9.4,857
Call My Name feat. Yukacco,Mameyudoufu,175,3,3.5,591,6,6.0,653,8+,8.7,921,0,0.0,0,0,0.0,0
Suomi,Aire,125,2,2.0,368,5,5.0,550,7+,7.8,818,8+,8.9,732,0,0.0,0
Bookmaker (2D Version),Kobaryo,175,4,4.5,538,6,6.5,728,8,8.3,1124,0,0.0,0,10,10.0,1287
Illegal Paradise,gmtn. (witch's slave),168,2,2.0,535,7,7.0,585,9,9.5,1061,0,0.0,0,0,0.0,0
Maze No.9,アリスシャッハと魔法の楽団,159,3,3.0,494,3,3.5,445,8+,8.9,775,0,0.0,0,0,0.0,0
The Message,Jun Kuroda,202,3,3.0,536,6,6.5,630,9+,9.7,992,0,0.0,0,0,0.0,0
Sulfur,ぺのれり,182,4,4.0,458,6,6.0,608,9+,9.7,1045,0,0.0,0,0,0.0,0
Halcyon,xi,191,5,5.5,662,8,8.2,943,10,10.5,1227,0,0.0,0,0,0.0,0
Ether Strike,Akira Complex,156,5,5.5,659,8,8.3,837,10,10.3,1170,0,0.0,0,0,0.0,0
Fracture Ray,Sakuzyo,200,6,6.0,983,9,9.5,1343,11,11.1,1279,0,0.0,0,0,0.0,0
Nhelv,Silentroom,174.59,3,3.0,647,6,6.5,913,9+,9.9,1108,0,0.0,0,10+,10.9,1474
dropdead,Frums,50,1,1.5,44,9,9.5,1323,8+,9.1,823,0,0.0,0,10,10.5,1503
Fallensquare,Silentroom,99,3,3.0,316,7,7.5,486,9+,9.7,703,0,0.0,0,0,0.0,0
LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,192,3,3.5,624,6,6.0,757,9,9.6,1058,0,0.0,0,0,0.0,0
Purgatorium,お月さま交響曲,150,2,2.5,609,6,6.0,641,8,8.4,983,0,0.0,0,9,9.6,1051
Alexandrite,WAiKURO,146,4,4.5,507,7,7.5,699,10,10.0,1040,0,0.0,0,0,0.0,0
Hikari,THB,130,2,2.5,237,6,6.0,450,8,8.1,684,0,0.0,0,0,0.0,0
Hall of Mirrors,Sta,147,3,3.0,535,5,5.5,553,8,8.2,898,0,0.0,0,0,0.0,0
STAGER (ALL STAGE CLEAR),Ras,145,3,3.0,453,6,6.5,559,9,9.5,1004,0,0.0,0,0,0.0,0
Linear Accelerator,THE SHAFT,200-211.9,2,2.5,438,6,6.5,488,9+,9.8,905,0,0.0,0,0,0.0,0
Tiferet,xi + Sta,140?,4,4.5,450,7+,7.8,720,10,10.3,1086,0,0.0,0,0,0.0,0
Rugie,Feryquitous feat.Sennzai,191,3,3.0,566,6,6.0,754,9,9.2,975,0,0.0,0,0,0.0,0
Astral tale,Noah,134,4,4.5,445,7,7.0,642,9,9.6,884,0,0.0,0,0,0.0,0
Phantasia,Yunosuke,153,4,4.0,544,5,5.5,579,9,9.2,952,0,0.0,0,0,0.0,0
Empire of Winter,Street,175,3,3.5,484,6,6.5,662,9,9.1,920,0,0.0,0,0,0.0,0
MERLIN,REDALiCE,180,3,3.0,315,5,5.5,428,8+,8.9,712,0,0.0,0,9,9.4,881
DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with ちよこ),160,3,3.0,327,6,6.0,556,9+,9.8,808,0,0.0,0,0,0.0,0
OMAKENO Stroke,t+pazolite,240,3,3.0,502,6,6.5,616,9,9.5,869,0,0.0,0,10,10.3,931
Scarlet Lance,MASAKI (ZUNTATA),185,4,4.0,517,7,7.0,644,10,10.0,1130,0,0.0,0,0,0.0,0
ouroboros -twin stroke of the end-,Cranky VS MASAKI,188,4,4.5,575,7,7.5,832,10+,10.7,1369,0,0.0,0,0,0.0,0
